Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
washingtons-farewell-address,,,,,,,Tier,Press print,TB-DOC-FARE-PRT,700,deny,manual,44.00,TRUE,TRUE,,,,,,
washingtons-farewell-address,,,,,,,Tier,Numbered edition,TB-DOC-FARE-EDN,1100,deny,manual,165.00,TRUE,TRUE,,,,,,
gettysburg-address,The Gettysburg Address,"<p><em>The Bliss copy, the only draft Lincoln signed, in two hundred and seventy-two words.</em></p><p>The Bliss copy — the fifth and final manuscript, the only one Lincoln signed and dated — from the Library of Congress. The full sheet carries all two hundred seventy-two words.</p><table><tr><td><strong>Source</strong></td><td>Library of Congress, Bliss copy</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"documents, broadside, printed in austin",TRUE,Tier,Digital download,TB-DOC-GETT-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/gettysburg-address.jpg,1,The Gettysburg Address — typeset broadside,"The Gettysburg Address — broadside, printed in Austin, TX","The Bliss copy, the only draft Lincoln signed, in two hundred and seventy-two words.",active
gettysburg-address,,,,,,,Tier,Press print,TB-DOC-GETT-PRT,700,deny,manual,44.00,TRUE,TRUE,,,,,,
gettysburg-address,,,,,,,Tier,Numbered edition,TB-DOC-GETT-EDN,1100,deny,manual,165.00,TRUE,TRUE,,,,,,
george-washington-after-stuart,George Washington,"<p><em>After Gilbert Stuart, begun 1795 — the Gibbs-Channing-Avery portrait, from The Met, open access.</em></p><p>After the Gilbert Stuart portrait begun in 1795 (the Gibbs-Channing-Avery type), reproduced from The Metropolitan Museum of Art open-access imagery, CC0, object 16584, Rogers Fund, 1907. The sitter’s dates and the painter’s credit are set on the sheet.</p><table><tr><td><strong>Source</strong></td><td>The Metropolitan Museum of Art, open access (CC0) · Gilbert Stuart, begun 1795</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon captions</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"founders, broadside, printed in austin",TRUE,Tier,Digital download,TB-FDR-WASH-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/george-washington-after-stuart.jpg,1,"Portrait of George Washington by Gilbert Stuart, begun 1795","George Washington — broadside, printed in Austin, TX","After Gilbert Stuart, begun 1795 — the Gibbs-Channing-Avery portrait, from The Met, open access.",active
george-washington-after-stuart,,,,,,,Tier,Press print,TB-FDR-WASH-PRT,700,deny,manual,42.00,TRUE,TRUE,,,,,,
george-washington-after-stuart,,,,,,,Tier,Numbered edition,TB-FDR-WASH-EDN,1100,deny,manual,145.00,TRUE,TRUE,,,,,,
benjamin-franklin-after-duplessis,Benjamin Franklin,"<p><em>After Joseph Duplessis, 1778. The printer among the founders.</em></p><p>After the Duplessis portrait of 1778 — the fur-collared “VIR” portrait — shown as a detail of the painted oval, reproduced from The Metropolitan Museum of Art open-access imagery, CC0, object 436236, The Friedsam Collection. Franklin was a printer by trade; this shop keeps his line over the press.</p><table><tr><td><strong>Source</strong></td><td>The Metropolitan Museum of Art, open access (CC0) · Joseph Siffred Duplessis, 1778</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon captions</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"founders, broadside, printed in austin",TRUE,Tier,Digital download,TB-FDR-FRAN-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/benjamin-franklin-after-duplessis.jpg,1,"Benjamin Franklin by Joseph Siffred Duplessis, 1778 (detail)","Benjamin Franklin — broadside, printed in Austin, TX","After Joseph Duplessis, 1778. The printer among the founders.",active
benjamin-franklin-after-duplessis,,,,,,,Tier,Press print,TB-FDR-FRAN-PRT,700,deny,manual,42.00,TRUE,TRUE,,,,,,
benjamin-franklin-after-duplessis,,,,,,,Tier,Numbered edition,TB-FDR-FRAN-EDN,1100,deny,manual,145.00,TRUE,TRUE,,,,,,
thomas-jefferson-after-stuart,Thomas Jefferson,"<p><em>After Gilbert Stuart, c. 1821, from the National Gallery of Art, open access.</em></p><p>After the Gilbert Stuart portrait of c. 1821 in the National Gallery of Art (accession 1986.71.1), reproduced from NGA open-access imagery. The Gallery’s scan runs 14,826 by 18,162 pixels — finer than any press will ever ask of it.</p><table><tr><td><strong>Source</strong></td><td>National Gallery of Art, open access · Gilbert Stuart, c. 1821 (1986.71.1)</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon captions</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"founders, broadside, printed in austin",TRUE,Tier,Digital download,TB-FDR-JEFF-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/thomas-jefferson-after-stuart.jpg,1,"Portrait of Thomas Jefferson by Gilbert Stuart, c. 1821","Thomas Jefferson — broadside, printed in Austin, TX","After Gilbert Stuart, c. 1821, from the National Gallery of Art, open access.",active
thomas-jefferson-after-stuart,,,,,,,Tier,Press print,TB-FDR-JEFF-PRT,700,deny,manual,42.00,TRUE,TRUE,,,,,,
thomas-jefferson-after-stuart,,,,,,,Tier,Numbered edition,TB-FDR-JEFF-EDN,1100,deny,manual,145.00,TRUE,TRUE,,,,,,
alexander-hamilton-after-trumbull,Alexander Hamilton,"<p><em>After John Trumbull, c. 1806 — the portrait the ten-dollar bill descends from. National Gallery of Art, open access.</em></p><p>After the John Trumbull portrait of c. 1806 in the National Gallery of Art (accession 1940.1.8), reproduced from NGA open-access imagery. The first Secretary of the Treasury, painted by the painter of the Revolution.</p><table><tr><td><strong>Source</strong></td><td>National Gallery of Art, open access · John Trumbull, c. 1806 (1940.1.8)</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon captions</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"founders, broadside, printed in austin",TRUE,Tier,Digital download,TB-FDR-HAML-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/alexander-hamilton-after-trumbull.jpg,1,"Portrait of Alexander Hamilton by John Trumbull, c. 1806","Alexander Hamilton — broadside, printed in Austin, TX","After John Trumbull, c. 1806 — the portrait the ten-dollar bill descends from. National Gallery of Art, open access.",active
alexander-hamilton-after-trumbull,,,,,,,Tier,Press print,TB-FDR-HAML-PRT,700,deny,manual,42.00,TRUE,TRUE,,,,,,
alexander-hamilton-after-trumbull,,,,,,,Tier,Numbered edition,TB-FDR-HAML-EDN,1100,deny,manual,145.00,TRUE,TRUE,,,,,,
abraham-lincoln-after-healy,Abraham Lincoln,"<p><em>After George P. A. Healy, painted from life in Springfield, 1860 — from the National Gallery of Art, open access.</em></p><p>After the George Peter Alexander Healy portrait painted from life in Springfield in 1860, weeks after the election and before the beard. Reproduced from National Gallery of Art open-access imagery, object 166453. The sitter's dates and the painter's credit are set on the sheet.</p><table><tr><td><strong>Source</strong></td><td>National Gallery of Art, open access · George P. A. Healy, 1860</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon captions</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"founders, broadside, printed in austin",TRUE,Tier,Digital download,TB-FDR-LINC-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/abraham-lincoln-after-healy.jpg,1,"Portrait of Abraham Lincoln by George P. A. Healy, painted from life in 1860","Abraham Lincoln — broadside, printed in Austin, TX","After George P. A. Healy, painted from life in Springfield, 1860 — from the National Gallery of Art, open access.",active
abraham-lincoln-after-healy,,,,,,,Tier,Press print,TB-FDR-LINC-PRT,700,deny,manual,42.00,TRUE,TRUE,,,,,,
abraham-lincoln-after-healy,,,,,,,Tier,Numbered edition,TB-FDR-LINC-EDN,1100,deny,manual,145.00,TRUE,TRUE,,,,,,
well-done-is-better-than-well-said,Well done is better than well said.,"<p><em>A printer wrote the shop's creed in 1737. The first copy off the press hangs over our machine, not in the store.</em></p><p>From Poor Richard's Almanack for 1737, by Benjamin Franklin, printer, Philadelphia. Source, date, and document set on the sheet. No spurious Franklin either.</p><table><tr><td><strong>Source</strong></td><td>Poor Richard's Almanack, 1737</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 18 (landscape)</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"quotes, broadside, printed in austin",TRUE,Tier,Digital download,TB-QTE-WELL-DIG,0,deny,manual,7.00,FALSE,TRUE,https://thomasbroadside.co/art/well-done-is-better-than-well-said.jpg,1,Well done is better than well said. — typeset broadside,"Well done is better than well said. — broadside, printed in Austin, TX","A printer wrote the shop's creed in 1737. The first copy off the press hangs over our machine, not in the store.",active
well-done-is-better-than-well-said,,,,,,,Tier,Press print,TB-QTE-WELL-PRT,700,deny,manual,38.00,TRUE,TRUE,,,,,,
facts-are-stubborn-things,Facts are stubborn things.,"<p><em>Adams, defending the least popular clients in Boston, 1770.</em></p><p>From John Adams's argument in defense of the British soldiers tried for the Boston Massacre, December 1770. The sheet sets the full sentence, not the shortened meme.</p><table><tr><td><strong>Source</strong></td><td>Argument in defense of the British soldiers, December 1770</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 18 (landscape)</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"quotes, broadside, printed in austin",TRUE,Tier,Digital download,TB-QTE-FACT-DIG,0,deny,manual,7.00,FALSE,TRUE,https://thomasbroadside.co/art/facts-are-stubborn-things.jpg,1,Facts are stubborn things. — typeset broadside,"Facts are stubborn things. — broadside, printed in Austin, TX","Adams, defending the least popular clients in Boston, 1770.",active
facts-are-stubborn-things,,,,,,,Tier,Press print,TB-QTE-FACT-PRT,700,deny,manual,38.00,TRUE,TRUE,,,,,,
with-malice-toward-none,With malice toward none; with charity for all.,"<p><em>Lincoln, forty-one days before his death, binding up the nation's wounds. Second Inaugural, 1865.</em></p><p>From the Second Inaugural Address, delivered at the Capitol on March 4, 1865. The sheet sets the closing charge with its original semicolons, trimmed at 'the nation's wounds'; the sentence continues to the widow and the orphan.</p><table><tr><td><strong>Source</strong></td><td>Second Inaugural Address, March 4, 1865</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 18 (landscape)</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"quotes, broadside, printed in austin",TRUE,Tier,Digital download,TB-QTE-MALC-DIG,0,deny,manual,7.00,FALSE,TRUE,https://thomasbroadside.co/art/with-malice-toward-none.jpg,1,With malice toward none; with charity for all. — typeset broadside,"With malice toward none; with charity for all. — broadside, printed in Austin, TX","Lincoln, forty-one days before his death, binding up the nation's wounds. Second Inaugural, 1865.",active
with-malice-toward-none,,,,,,,Tier,Press print,TB-QTE-MALC-PRT,700,deny,manual,38.00,TRUE,TRUE,,,,,,
a-house-divided,A house divided against itself cannot stand.,"<p><em>Lincoln accepting the Senate nomination, Springfield, June 16, 1858 — quoting the Gospel back to a divided country.</em></p><p>From the speech accepting the Illinois Republican nomination for the United States Senate, Springfield, June 16, 1858. Lincoln is quoting Mark 3:25, and the sheet credits the speech, not the scripture.</p><table><tr><td><strong>Source</strong></td><td>Speech at the Illinois Republican state convention, June 16, 1858</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 18 (landscape)</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"quotes, broadside, printed in austin",TRUE,Tier,Digital download,TB-QTE-HOUS-DIG,0,deny,manual,7.00,FALSE,TRUE,https://thomasbroadside.co/art/a-house-divided.jpg,1,A house divided against itself cannot stand. — typeset broadside,"A house divided against itself cannot stand. — broadside, printed in Austin, TX","Lincoln accepting the Senate nomination, Springfield, June 16, 1858 — quoting the Gospel back to a divided country.",active
a-house-divided,,,,,,,Tier,Press print,TB-QTE-HOUS-PRT,700,deny,manual,38.00,TRUE,TRUE,,,,,,
the-thirteen-colonies-1776,The Thirteen Colonies,"<p><em>The Theatre of War in North America, 1776 — half map, half letterpress. A period broadside in the truest sense.</em></p><p>“The Theatre of War in North America, with the roads and a table of the distances,” published by Sayer &amp; Bennett, London, 1776, from Library of Congress public-domain holdings. The plate carries the colonies above and a compendious letterpress account below — a map that is itself a broadside, which is why it hangs in this catalog.</p><table><tr><td><strong>Source</strong></td><td>Library of Congress, Geography &amp; Map Division · Sayer &amp; Bennett, 1776 · item 74693102</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon captions</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 36 · sized to the plate</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"maps, broadside, printed in austin",TRUE,Tier,Digital download,TB-MAP-COLO-DIG,0,deny,manual,12.00,FALSE,TRUE,https://thomasbroadside.co/art/the-thirteen-colonies-1776.jpg,1,"The Theatre of War in North America, map with letterpress text, 1776","The Thirteen Colonies — broadside, printed in Austin, TX","The Theatre of War in North America, 1776 — half map, half letterpress. A period broadside in the truest sense.",active
the-thirteen-colonies-1776,,,,,,,Tier,Press print,TB-MAP-COLO-PRT,700,deny,manual,48.00,TRUE,TRUE,,,,,,
the-thirteen-colonies-1776,,,,,,,Tier,Numbered edition,TB-MAP-COLO-EDN,1100,deny,manual,175.00,TRUE,TRUE,,,,,,
plan-of-the-city-of-washington,Plan of the City of Washington,"<p><em>Ellicott's engraving of the L'Enfant plan — the capital on paper before it existed on land.</em></p><p>Andrew Ellicott’s 1792 plan, engraved after L’Enfant, from Library of Congress public-domain holdings, item 98689552. A city that existed in print before it existed at all — a very print-shop kind of founding.</p><table><tr><td><strong>Source</strong></td><td>Library of Congress, Geography &amp; Map Division · Ellicott, 1792 · item 98689552</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon captions</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 18 (landscape) · sized to the plate</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"maps, broadside, printed in austin",TRUE,Tier,Digital download,TB-MAP-WASH-DIG,0,deny,manual,12.00,FALSE,TRUE,https://thomasbroadside.co/art/plan-of-the-city-of-washington.jpg,1,"Plan of the City of Washington, Ellicott after L’Enfant, 1792","Plan of the City of Washington — broadside, printed in Austin, TX",Ellicott's engraving of the L'Enfant plan — the capital on paper before it existed on land.,active
plan-of-the-city-of-washington,,,,,,,Tier,Press print,TB-MAP-WASH-PRT,700,deny,manual,48.00,TRUE,TRUE,,,,,,
plan-of-the-city-of-washington,,,,,,,Tier,Numbered edition,TB-MAP-WASH-EDN,1100,deny,manual,175.00,TRUE,TRUE,,,,,,
texas-declaration-of-independence,The Texas Declaration of Independence,"<p><em>Signed at Washington-on-the-Brazos, March 2, 1836. The resolve and the republic, monumental — the home market's founding sheet.</em></p><p>From the Texas State Library and Archives transcription of the declaration adopted at Washington-on-the-Brazos, March 2, 1836. Printed an hour up the road from where we print.</p><table><tr><td><strong>Source</strong></td><td>Texas State Library and Archives</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"texas, broadside, printed in austin",TRUE,Tier,Digital download,TB-TEX-DECL-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/texas-declaration-of-independence.jpg,1,"The Texas Declaration of Independence — 'a free, Sovereign, and independent republic' set monumental in Caslon, black and red","The Texas Declaration of Independence — broadside, printed in Austin, TX","Signed at Washington-on-the-Brazos, March 2, 1836. The resolve and the republic, monumental — the home market's founding sheet.",active
texas-declaration-of-independence,,,,,,,Tier,Press print,TB-TEX-DECL-PRT,700,deny,manual,46.00,TRUE,TRUE,,,,,,
texas-declaration-of-independence,,,,,,,Tier,Numbered edition,TB-TEX-DECL-EDN,1100,deny,manual,175.00,TRUE,TRUE,,,,,,
the-republic-of-texas-after-emory,The Republic of Texas,"<p><em>After Emory, 1844 — the Republic mapped in its last year before statehood.</em></p><p>William H. Emory’s 1844 “Map of Texas and the countries adjacent,” engraved by William J. Stone — the same engraver who cut the official 1823 facsimile of the Declaration of Independence — from Library of Congress public-domain holdings, item 2003627046.</p><table><tr><td><strong>Source</strong></td><td>Library of Congress, Geography &amp; Map Division · Emory, 1844 · item 2003627046</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon captions</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 16 (landscape) · sized to the plate</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"texas, broadside, printed in austin",TRUE,Tier,Digital download,TB-TEX-EMOR-DIG,0,deny,manual,12.00,FALSE,TRUE,https://thomasbroadside.co/art/the-republic-of-texas-after-emory.jpg,1,"Map of Texas and the countries adjacent, Emory, 1844","The Republic of Texas — broadside, printed in Austin, TX","After Emory, 1844 — the Republic mapped in its last year before statehood.",active
the-republic-of-texas-after-emory,,,,,,,Tier,Press print,TB-TEX-EMOR-PRT,700,deny,manual,48.00,TRUE,TRUE,,,,,,
the-republic-of-texas-after-emory,,,,,,,Tier,Numbered edition,TB-TEX-EMOR-EDN,1100,deny,manual,175.00,TRUE,TRUE,,,,,,
